movie_id,budget,popularity,release_date,revenue,runtime,title,genre_Action,genre_Adventure,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Other,genre_Romance,genre_Science Fiction,genre_Thriller,award_season,summer_blockbuster,winter_low_season,likely_sequel,director,num_prev_films_by_director,production_company_Columbia Pictures,production_company_Metro-Goldwyn-Mayer (MGM),production_company_New Line Cinema,production_company_Other,production_company_Paramount Pictures,production_company_Relativity Media,production_company_Touchstone Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Universal Pictures,production_company_Walt Disney Pictures,production_company_Warner Bros.,lead_actor,second_actor,third_actor
21612,12500000,2.950618,1996-01-26,1227324,99.0,The Funeral,0,0,0,1,1,0,0,0,0,0,0,False,False,True,False,Abel Ferrara,0,0,0,0,1,0,0,0,0,0,0,0,Christopher Walken,Chris Penn,Annabella Sciorra
8390,0,29.173266,2008-02-08,55447968,112.0,"Definitely, Maybe",0,0,1,0,0,0,0,0,1,0,0,False,False,True,False,Adam Brooks,0,0,0,0,1,0,0,0,0,1,0,0,Ryan Reynolds,Abigail Breslin,Elizabeth Banks
10285,3000000,10.341982,1993-08-13,15938065,87.0,Jason Goes to Hell: The Final Friday,0,0,0,0,0,0,1,1,0,0,1,False,True,False,False,Adam Marcus,0,0,0,1,1,0,0,0,0,0,0,0,Kane Hodder,John D. LeMay,Kari Keegan
8699,26000000,29.342744,2004-07-09,90574188,94.0,Anchorman: The Legend of Ron Burgundy,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Adam McKay,0,0,0,0,1,0,0,0,0,0,0,0,Will Ferrell,Christina Applegate,Paul Rudd
9718,72500000,12.599836,2006-08-04,162966177,116.0,Talladega Nights: The Ballad of Ricky Bobby,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Adam McKay,1,1,0,0,1,0,0,0,0,0,0,0,Will Ferrell,John C. Reilly,Sacha Baron Cohen
12133,65000000,22.977983,2008-07-25,128107642,98.0,Step Brothers,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Adam McKay,2,1,0,0,1,0,1,0,0,0,0,0,Will Ferrell,John C. Reilly,Mary Steenburgen
27581,100000000,24.399642,2010-08-06,170432927,107.0,The Other Guys,1,0,1,1,0,0,0,0,0,0,0,False,True,False,False,Adam McKay,3,1,0,0,1,0,0,0,0,0,0,0,Will Ferrell,Mark Wahlberg,Eva Mendes
109443,50000000,38.125008,2013-12-18,173649015,119.0,Anchorman 2: The Legend Continues,0,0,1,0,0,0,0,0,0,0,0,True,False,False,False,Adam McKay,4,0,0,0,1,1,0,0,0,0,0,0,Will Ferrell,Steve Carell,Paul Rudd
318846,28000000,57.518472,2015-12-11,133346506,130.0,The Big Short,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,Adam McKay,5,0,0,0,1,1,0,0,0,0,0,0,Christian Bale,Steve Carell,Ryan Gosling
14256,3500000,3.643608,2006-02-07,113783,98.0,Winter Passing,0,0,1,0,1,0,0,0,0,0,0,False,False,True,False,Adam Rapp,0,0,0,0,1,0,0,0,0,0,0,0,Zooey Deschanel,Will Ferrell,Ed Harris
9781,6500000,5.700333,1999-08-13,4217115,95.0,Detroit Rock City,0,0,1,0,0,0,0,1,0,0,0,False,True,False,False,Adam Rifkin,0,0,0,1,1,0,0,0,0,0,0,0,Giuseppe Andrews,James DeBello,Edward Furlong
2018,35000000,14.949395,2001-01-26,94728529,103.0,The Wedding Planner,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,Adam Shankman,0,0,0,0,1,0,0,0,0,0,0,0,Jennifer Lopez,Matthew McConaughey,Justin Chambers
10229,11000000,33.283554,2002-01-25,41227069,101.0,A Walk to Remember,0,0,0,0,1,0,0,0,1,0,0,False,False,True,False,Adam Shankman,1,0,0,0,1,0,0,0,0,0,0,1,Mandy Moore,Shane West,Peter Coyote
10678,20000000,8.351385,2003-03-07,132675402,105.0,Bringing Down the House,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,Adam Shankman,2,0,0,0,1,0,0,1,0,0,0,0,Steve Martin,Queen Latifah,Eugene Levy
10022,56000000,35.4763,2005-03-04,113006880,95.0,The Pacifier,1,0,1,0,1,1,0,0,0,0,1,False,False,True,False,Adam Shankman,3,0,0,0,1,0,0,0,0,0,1,0,Vin Diesel,Lauren Graham,Faith Ford
9641,60000000,18.831023,2005-12-21,129181830,94.0,Cheaper by the Dozen 2,0,0,1,0,0,0,0,0,0,0,0,True,False,False,True,Adam Shankman,4,0,0,0,1,0,0,0,1,0,0,0,Steve Martin,Eugene Levy,Bonnie Hunt
2976,50000000,31.160542,2007-07-13,90450008,117.0,Hairspray,0,0,1,0,0,1,0,1,1,0,0,False,True,False,False,Adam Shankman,5,0,0,1,1,0,0,0,0,0,0,0,John Travolta,Michelle Pfeiffer,Christopher Walken
10202,80000000,23.531721,2008-12-24,212874442,99.0,Bedtime Stories,0,0,1,0,0,1,1,0,1,0,0,True,False,False,False,Adam Shankman,6,0,0,0,1,0,0,0,0,0,1,0,Adam Sandler,Keri Russell,Guy Pearce
80585,75000000,23.515938,2012-06-13,59418613,123.0,Rock of Ages,0,0,1,0,1,0,0,1,1,0,0,False,True,False,False,Adam Shankman,7,0,0,1,1,0,0,0,0,0,0,0,Julianne Hough,Diego Boneta,Tom Cruise
535,4000000,18.422323,1983-04-14,92921203,95.0,Flashdance,0,0,0,0,1,0,0,1,1,0,0,False,False,True,False,Adrian Lyne,0,0,0,0,0,1,0,0,0,0,0,0,Jennifer Beals,Michael Nouri,Lilia Skala
10068,17000000,12.313143,1986-02-14,6735922,117.0,Nine 1/2 Weeks,0,0,0,0,1,0,0,0,1,0,0,False,False,True,False,Adrian Lyne,1,0,1,0,1,0,0,0,0,0,0,0,Mickey Rourke,Kim Basinger,Margaret Whitton
10998,14000000,16.742972,1987-09-11,320145693,119.0,Fatal Attraction,0,0,0,0,1,0,0,0,1,0,1,True,False,False,False,Adrian Lyne,2,0,0,0,0,1,0,0,0,0,0,0,Michael Douglas,Glenn Close,Anne Archer
2251,50000000,14.382253,2002-05-10,119137784,124.0,Unfaithful,0,0,0,0,1,0,0,0,0,0,1,False,True,False,False,Adrian Lyne,3,0,0,0,1,0,0,0,0,0,0,0,Richard Gere,Diane Lane,Olivier Martinez
10758,2000000,9.67299,2007-05-25,22179430,108.0,Waitress,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Adrienne Shelly,0,0,0,0,1,0,0,0,0,0,0,0,Keri Russell,Nathan Fillion,Andy Griffith
36419,4500000,14.570359,2010-04-09,3606395,104.0,After.Life,0,0,0,0,1,0,0,1,0,0,1,False,False,True,False,Agnieszka Wojtowicz-Vosloo,0,0,0,0,1,0,0,0,0,0,0,0,Liam Neeson,Justin Long,Christina Ricci
13495,24000000,6.009644,2006-09-01,23321954,145.0,Alatriste,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,Agustín Díaz Yanes,0,0,0,0,1,0,0,0,1,0,0,0,Viggo Mortensen,Elena Anaya,Unax Ugalde
346,2000000,39.756748,1954-04-26,271841,207.0,Seven Samurai,1,0,0,0,1,0,0,0,0,0,0,False,False,True,False,Akira Kurosawa,0,0,0,0,1,0,0,0,0,0,0,0,Toshirō Mifune,Takashi Shimura,Yoshio Inaba
137321,60000000,22.736038,2014-02-13,30800231,118.0,Winter's Tale,0,0,0,0,1,0,1,1,1,0,0,False,False,True,False,Akiva Goldsman,0,0,0,0,1,0,0,0,0,0,0,1,Colin Farrell,Jessica Brown Findlay,Russell Crowe
10074,0,6.309587,2007-08-03,14334401,88.0,Hot Rod,1,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Akiva Schaffer,0,0,0,0,0,1,0,0,0,0,0,0,Andy Samberg,Isla Fisher,Bill Hader
80035,68000000,39.395881,2012-07-26,68267862,98.0,The Watch,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Akiva Schaffer,1,0,0,0,1,0,0,0,1,0,0,0,Ben Stiller,Vince Vaughn,Jonah Hill
70478,100000,1.183892,1969-07-25,27000000,69.0,The Stewardesses,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,Al Silliman Jr.,0,0,0,0,0,0,0,0,0,0,0,0,Christina Hart,Ronald South,William Condos
9944,45000000,17.923254,1993-12-16,195268056,141.0,The Pelican Brief,0,0,0,1,1,0,0,1,0,0,1,True,False,False,False,Alan J. Pakula,0,0,0,0,0,0,0,0,0,0,0,1,Julia Roberts,Denzel Washington,Sam Shepard
4477,90000000,15.350451,1997-03-12,140807547,107.0,The Devil's Own,0,0,0,1,1,0,0,0,0,0,1,False,False,True,False,Alan J. Pakula,1,1,0,0,0,0,0,0,0,0,0,0,Harrison Ford,Brad Pitt,Margaret Colin
11546,0,11.946898,1994-06-09,126247,83.0,Police Academy: Mission to Moscow,0,0,1,1,0,0,0,0,0,0,0,False,True,False,False,Alan Metter,0,0,0,0,0,0,0,0,0,0,0,1,George Gaynes,G. W. Bailey,Leslie Easterbrook
8818,55000000,7.027139,1996-12-14,141047179,134.0,Evita,0,0,0,0,1,0,0,1,0,0,0,True,False,False,False,Alan Parker,0,0,0,0,1,0,0,0,0,0,0,0,Madonna,Antonio Banderas,Jonathan Pryce
11615,50000000,22.442241,2003-02-21,38955598,130.0,The Life of David Gale,0,0,0,1,1,0,0,0,0,0,1,False,False,True,False,Alan Parker,1,0,0,0,1,0,0,0,0,1,0,0,Kevin Spacey,Kate Winslet,Laura Linney
34806,35000000,18.38292,2010-04-23,77477008,106.0,The Back-Up Plan,0,0,1,0,0,0,0,0,1,0,0,False,False,True,False,Alan Poul,0,0,0,0,1,0,0,0,0,0,0,0,Jennifer Lopez,Alex O'Loughlin,Danneel Ackles
36355,25530000,4.475007,1996-05-17,20080020,95.0,Flipper,0,1,0,0,0,1,0,0,0,0,0,False,True,False,False,Alan Shapiro,0,0,0,0,1,0,0,0,0,1,0,0,Elijah Wood,Paul Hogan,Jonathan Banks
78149,10000000,0.666218,1998-02-20,45779,86.0,"An Alan Smithee Film: Burn, Hollywood, Burn",0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,Alan Smithee,0,0,0,0,1,0,0,0,0,0,0,0,Jackie Chan,Sylvester Stallone,Whoopi Goldberg
76338,170000000,99.499595,2013-10-29,644571402,112.0,Thor: The Dark World,1,1,0,0,0,0,1,0,0,0,0,True,False,False,False,Alan Taylor,0,0,0,0,1,0,0,0,0,0,0,0,Chris Hemsworth,Natalie Portman,Tom Hiddleston
87101,155000000,202.042635,2015-06-23,440603537,126.0,Terminator Genisys,1,1,0,0,0,0,0,0,0,1,1,False,True,False,False,Alan Taylor,1,0,0,0,1,1,0,0,0,0,0,0,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke
9516,3500000,3.418871,1993-05-26,27900000,97.0,Menace II Society,1,0,0,1,1,0,0,0,0,0,0,False,True,False,False,Albert Hughes,0,0,0,1,0,0,0,0,0,0,0,0,Tyrin Turner,Larenz Tate,Glenn Plummer
768,35000000,26.134678,2001-10-19,74558115,122.0,From Hell,0,0,0,0,0,0,0,1,0,0,1,True,False,False,False,Albert Hughes,1,0,0,0,1,0,0,0,1,0,0,0,Johnny Depp,Heather Graham,Ian Holm
20504,80000000,32.363538,2010-01-14,157107755,118.0,The Book of Eli,1,0,0,0,0,0,0,0,0,1,1,False,False,True,False,Albert Hughes,2,0,0,0,1,0,0,0,0,0,0,0,Denzel Washington,Gary Oldman,Mila Kunis
2044,40000000,29.88736,2006-06-16,114830111,99.0,The Lake House,0,0,0,0,1,0,0,1,1,0,0,False,True,False,False,Alejandro Agresti,0,0,0,0,1,0,0,0,0,0,0,1,Keanu Reeves,Sandra Bullock,Shohreh Aghdashloo
1913,12806000,17.363739,2004-09-03,38535221,125.0,The Sea Inside,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alejandro Amenábar,0,0,0,0,1,0,0,0,0,0,0,0,Javier Bardem,Belén Rueda,Lola Dueñas
26428,70000000,18.888806,2009-05-17,39041505,127.0,Agora,0,1,0,0,1,0,0,1,0,0,0,False,True,False,False,Alejandro Amenábar,1,0,0,0,1,0,0,0,0,0,0,0,Rachel Weisz,Max Minghella,Oscar Isaac
241257,0,27.215666,2015-10-01,17671101,106.0,Regression,0,0,0,0,0,0,0,1,0,0,1,True,False,False,False,Alejandro Amenábar,2,0,0,0,1,0,0,0,0,0,0,0,Ethan Hawke,Emma Watson,David Thewlis
55,2000000,23.281616,2000-06-16,20908467,154.0,Amores perros,0,0,0,0,1,0,0,0,0,0,1,False,True,False,False,Alejandro González Iñárritu,0,0,0,0,1,0,0,0,0,0,0,0,Gael García Bernal,Vanessa Bauche,Goya Toledo
470,20000000,32.243357,2003-09-06,60427839,124.0,21 Grams,0,0,0,1,1,0,0,0,0,0,1,True,False,False,False,Alejandro González Iñárritu,1,0,0,0,1,0,0,0,0,0,0,0,Sean Penn,Naomi Watts,Benicio del Toro
1164,25000000,25.785925,2006-09-08,135330182,143.0,Babel,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alejandro González Iñárritu,2,0,0,0,1,0,0,0,0,0,0,0,Brad Pitt,Cate Blanchett,Gael García Bernal
45958,0,13.930763,2010-10-20,25147786,148.0,Biutiful,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alejandro González Iñárritu,3,0,0,0,1,0,0,0,0,0,0,0,Javier Bardem,Maricel Álvarez,Hanaa Bouchaib
194662,18000000,89.811154,2014-08-27,103215094,119.0,Birdman,0,0,1,0,1,0,0,0,0,0,0,False,True,False,False,Alejandro González Iñárritu,4,0,0,0,1,0,0,0,0,0,0,0,Michael Keaton,Emma Stone,Zach Galifianakis
281957,135000000,100.635882,2015-12-25,532950503,156.0,The Revenant,0,1,0,0,1,0,0,1,0,0,1,True,False,False,False,Alejandro González Iñárritu,5,0,0,0,1,0,0,0,0,0,0,0,Leonardo DiCaprio,Tom Hardy,Will Poulter
256962,20000000,12.232048,2015-04-23,6420319,106.0,Little Boy,0,0,1,0,1,0,0,1,0,0,0,False,False,True,False,Alejandro Monteverde,0,0,0,0,1,0,0,0,0,0,0,0,Jakob Salvati,Emily Watson,Cary-Hiroyuki Tagawa
225235,0,1.876621,2013-07-26,4037782,120.0,The Geographer Drank His Globe Away,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,Aleksandr Veledinskiy,0,0,0,0,1,0,0,0,0,0,0,0,Konstantin Khabenskiy,Elena Lyadova,Aleksandr Robak
110402,7000000,3.120016,2013-02-27,1310673,170.0,Hard to Be a God,0,0,0,0,1,0,0,0,0,1,0,False,False,True,False,Aleksey German,0,0,0,0,1,0,0,0,0,0,0,0,Leonid Yarmolnik,Yuriy Tsurilo,Natalya Moteva
13820,1500000,11.35344,1984-02-20,2300000,92.0,Repo Man,0,0,1,1,0,0,0,0,0,1,1,False,False,True,False,Alex Cox,0,0,0,0,1,0,0,0,0,0,0,0,Harry Dean Stanton,Emilio Estevez,Tracey Walter
264660,15000000,95.130041,2015-01-21,36869414,108.0,Ex Machina,0,0,0,0,1,0,0,0,0,1,0,False,False,True,False,Alex Garland,0,0,0,0,1,0,0,0,0,0,0,0,Domhnall Gleeson,Alicia Vikander,Oscar Isaac
13362,1000000,0.748565,2007-04-30,274661,106.0,Taxi to the Dark Side,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,Alex Gibney,0,0,0,0,1,0,0,0,0,0,0,0,Brian Keith Allen,Moazzam Begg,Christopher Beiring
18925,100000,4.563698,2006-09-29,10178331,111.0,Facing the Giants,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alex Kendrick,0,0,0,0,1,0,0,0,0,0,0,0,James Blackwell,Alex Kendrick,Shannen Fields
14438,500000,6.093989,2008-09-26,33456317,122.0,Fireproof,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alex Kendrick,1,0,0,0,1,0,0,0,0,0,0,0,Kirk Cameron,Erin Bethea,Ken Bevel
72213,1000000,5.961119,2011-09-30,34522221,129.0,Courageous,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,Alex Kendrick,2,0,0,0,1,0,0,0,0,0,0,0,Alex Kendrick,Ken Bevel,Ben Davies
